id;jmeno;popis;cena
1;Fotbalové míče;Kvalitní míče na trénink i zápasy pro děti i dospělé hráče.;599
2;Chrániče holení;Lehké a pevné chrániče, které pomáhají chránit nohy před zraněním.;299
3;Fotbalové kopačky;Kopačky na trávu, umělku i halu pro lepší stabilitu a kontrolu míče.;1599
4;Tréninkové kužely;Pomůcky na trénink rychlosti, driblingu a pohybu na hřišti.;199
5;Fotbalové dresy;Stylové a pohodlné dresy pro týmy i jednotlivé hráče.;699
6;Brankářské rukavice;Rukavice s dobrým gripem pro jistější chytání balónu.;799
7;Sportovní tašky;Praktické tašky na přenos vybavení, oblečení a kopaček.;499
8;Láhve na pití;Sportovní láhve vhodné na tréninky i zápasy.;149
9;Tréninkové žebříky;Pomůcky na zlepšení koordinace, rychlosti a práce nohou.;399
10;Fotbalové ponožky;Pohodlné a odolné ponožky vhodné ke kopačkám i chráničům.;199
